player_one,player_two,grand_slam,winner,year
Novak Djokovic,Kevin Anderson,Wimbledon,Novak Djokovic,2018
Novak Djokovic,Juan Martin del Potro,US Open,Novak Djokovic,2018
Roger Federer,Rafael Nadal,Australian Open,Roger Federer,2017
Rafael Nadal,Stan Wawrinka,French Open,Rafael Nadal,2017
Roger Federer,Marin Cilic,Wimbledon,Roger Federer,2017
Rafael Nadal,Kevin Anderson,US Open,Rafael Nadal,2017
Novak Djokovic,Andy Murray,Australian Open,Novak Djokovic,2016
Novak Djokovic,Andy Murray,French Open,Novak Djokovic,2016
Andy Murray,Milos Raonic,Wimbledon,Andy Murray,2016
Stan Wawrinka,Novak Djokovic,US Open,Stan Wawrinka,2016
Novak Djokovic,Andy Murray,Australian Open,Novak Djokovic,2015
Stan Wawrinka,Novak Djokovic,French Open,Stan Wawrinka,2015
Novak Djokovic,Roger Federer,Wimbledon,Novak Djokovic,2015
Novak Djokovic,Roger Federer,US Open,Novak Djokovic,2015
Stan Wawrinka,Rafael Nadal,Australian Open,Stan Wawrinka,2014
Rafael Nadal,Novak Djokovic,French Open,Rafael Nadal,2014
Novak Djokovic,Roger Federer,Wimbledon,Novak Djokovic,2014
Marin Cilic,Kei Nishikori,US Open,Marin Cilic,2014
Novak Djokovic,Andy Murray,Australian Open,Novak Djokovic,2013
Rafael Nadal,David Ferrer,French Open,Rafael Nadal,2013
Andy Murray,Novak Djokovic,Wimbledon,Andy Murray,2013
Rafael Nadal,Novak Djokovic,US Open,Rafael Nadal,2013
Novak Djokovic,Rafael Nadal,Australian Open,Novak Djokovic,2012
Rafael Nadal,Novak Djokovic,French Open,Rafael Nadal,2012
Roger Federer,Andy Murray,Wimbledon,Roger Federer,2012
Andy Murray,Novak Djokovic,US Open,Andy Murray,2012
Novak Djokovic,Andy Murray,Australian Open,Novak Djokovic,2011
Rafael Nadal,Roger Federer,French Open,Rafael Nadal,2011
Novak Djokovic,Rafael Nadal,Wimbledon,Novak Djokovic,2011
Novak Djokovic,Rafael Nadal,US Open,Novak Djokovic,2011
Roger Federer,Andy Murray,Australian Open,Roger Federer,2010
Rafael Nadal,Robin Soderling,French Open,Rafael Nadal,2010
Rafael Nadal,Tomas Berdych,Wimbledon,Rafael Nadal,2010
Rafael Nadal,Novak Djokovic,US Open,Rafael Nadal,2010
Rafael Nadal,Roger Federer,Australian Open,Rafael Nadal,2009
Roger Federer,Robin Soderling,French Open,Roger Federer,2009
Roger Federer,Andy Roddick,Wimbledon,Roger Federer,2009
Juan Martin del Potro,Roger Federer,US Open,Juan Martin del Potro,2009
Novak Djokovic,Jo-Wilfried Tsonga,Australian Open,Novak Djokovic,2008
Rafael Nadal,Roger Federer,French Open,Rafael Nadal,2008
Rafael Nadal,Roger Federer,Wimbledon,Rafael Nadal,2008
Roger Federer,Andy Murray,US Open,Roger Federer,2008
Roger Federer,Fernando Gonzalez,Australian Open,Roger Federer,2007
Rafael Nadal,Roger Federer,French Open,Rafael Nadal,2007
Roger Federer,Rafael Nadal,Wimbledon,Roger Federer,2007
Roger Federer,Novak Djokovic,US Open,Roger Federer,2007
Roger Federer,Marcos Baghdatis,Australian Open,Roger Federer,2006
Rafael Nadal,Roger Federer,French Open,Rafael Nadal,2006
Roger Federer,Rafael Nadal,Wimbledon,Roger Federer,2006
Roger Federer,Andy Roddick,US Open,Roger Federer,2006
Marat Safin,Lleyton Hewitt,Australian Open,Marat Safin,2005
Rafael Nadal,Mariano Puerta,French Open,Rafael Nadal,2005
Roger Federer,Andy Roddick,Wimbledon,Roger Federer,2005
Roger Federer,Andre Agassi,US Open,Roger Federer,2005
Roger Federer,Marat Safin,Australian Open,Roger Federer,2004
Gaston Gaudio,Guillermo Coria,French Open,Gaston Gaudio,2004
Roger Federer,Andy Roddick,Wimbledon,Roger Federer,2004
Roger Federer,Lleyton Hewitt,US Open,Roger Federer,2004
Andre Agassi,Rainer Schuettler,Australian Open,Andre Agassi,2003
Juan Carlos Ferrero,Martin Verkerk,French Open,Juan Carlos Ferrero,2003
Roger Federer,Mark Philippoussis,Wimbledon,Roger Federer,2003
Andy Roddick,Juan Carlos Ferrero,US Open,Andy Roddick,2003
Thomas Johansson,Marat Safin,Australian Open,Thomas Johansson,2002
Albert Costa,Juan Carlos Ferrero,French Open,Albert Costa,2002
Lleyton Hewitt,David Nalbandian,Wimbledon,Lleyton Hewitt,2002
Pete Sampras,Andre Agassi,US Open,Pete Sampras,2002
Andre Agassi,Arnaud Clement,Australian Open,Andre Agassi,2001
Gustavo Kuerten,Alex Corretja,French Open,Gustavo Kuerten,2001
Goran Ivanisevic,Patrick Rafter,Wimbledon,Goran Ivanisevic,2001
Lleyton Hewitt,Pete Sampras,US Open,Lleyton Hewitt,2001
Andre Agassi,Pete Sampras,Australian Open,Andre Agassi,2000
Gustavo Kuerten,Magnus Norman,French Open,Gustavo Kuerten,2000
Pete Sampras,Patrick Rafter,Wimbledon,Pete Sampras,2000
Marat Safin,Pete Sampras,US Open,Marat Safin,2000
Yevgeny Kafelnikov,Thomas Enqvist,Australian Open,Yevgeny Kafelnikov,1999
Andre Agassi,Andrei Medvedev,French Open,Andre Agassi,1999
Pete Sampras,Andre Agassi,Wimbledon,Pete Sampras,1999
Andre Agassi,Todd Martin,US Open,Andre Agassi,1999
Petr Korda,Marcelo Rios,Australian Open,Petr Korda,1998
Carlos Moya,Alex Corretja,French Open,Carlos Moya,1998
Pete Sampras,Goran Ivanisevic,Wimbledon,Pete Sampras,1998
Patrick Rafter,Mark Philippoussis,US Open,Patrick Rafter,1998
Pete Sampras,Carlos Moya,Australian Open,Pete Sampras,1997
Gustavo Kuerten,Sergi Bruguera,French Open,Gustavo Kuerten,1997
Pete Sampras,Cedric Pioline,Wimbledon,Pete Sampras,1997
Patrick Rafter,Greg Rusedski,US Open,Patrick Rafter,1997
Boris Becker,Michael Chang,Australian Open,Boris Becker,1996
Yevgeny Kafelnikov,Michael Stich,French Open,Yevgeny Kafelnikov,1996
Richard Krajicek,Malivai Washington,Wimbledon,Richard Krajicek,1996
Pete Sampras,Michael Chang,US Open,Pete Sampras,1996
Andre Agassi,Pete Sampras,Australian Open,Andre Agassi,1995
Thomas Muster,Michael Chang,French Open,Thomas Muster,1995
Pete Sampras,Boris Becker,Wimbledon,Pete Sampras,1995
Pete Sampras,Andre Agassi,US Open,Pete Sampras,1995
Pete Sampras,Todd Martin,Australian Open,Pete Sampras,1994
Sergi Bruguera,Alberto Berasategui,French Open,Sergi Bruguera,1994
Pete Sampras,Goran Ivanisevic,Wimbledon,Pete Sampras,1994
Andre Agassi,Michael Stich,US Open,Andre Agassi,1994
Jim Courier,Stefan Edberg,Australian Open,Jim Courier,1993
Sergi Bruguera,Jim Courier,French Open,Sergi Bruguera,1993
Pete Sampras,Jim Courier,Wimbledon,Pete Sampras,1993
Pete Sampras,Cedric Pioline,US Open,Pete Sampras,1993
Jim Courier,Stefan Edberg,Australian Open,Jim Courier,1992
Jim Courier,Petr Korda,French Open,Jim Courier,1992
Andre Agassi,Goran Ivanisevic,Wimbledon,Andre Agassi,1992
Stefan Edberg,Pete Sampras,US Open,Stefan Edberg,1992
Boris Becker,Ivan Lendl,Australian Open,Boris Becker,1991
Jim Courier,Andre Agassi,French Open,Jim Courier,1991
Michael Stich,Boris Becker,Wimbledon,Michael Stich,1991
Stefan Edberg,Jim Courier,US Open,Stefan Edberg,1991
Ivan Lendl,Stefan Edberg,Australian Open,Ivan Lendl,1990
Andres Gomez,Andre Agassi,French Open,Andres Gomez,1990
Stefan Edberg,Boris Becker,Wimbledon,Stefan Edberg,1990
Pete Sampras,Andre Agassi,US Open,Pete Sampras,1990
Ivan Lendl,Miloslav Mecir,Australian Open,Ivan Lendl,1989
Michael Chang,Stefan Edberg,French Open,Michael Chang,1989
Boris Becker,Stefan Edberg,Wimbledon,Boris Becker,1989
Boris Becker,Ivan Lendl,US Open,Boris Becker,1989
Mats Wilander,Pat Cash,Australian Open,Mats Wilander,1988
Mats Wilander,Henri Leconte,French Open,Mats Wilander,1988
Stefan Edberg,Boris Becker,Wimbledon,Stefan Edberg,1988
Mats Wilander,Ivan Lendl,US Open,Mats Wilander,1988
Stefan Edberg,Pat Cash,Australian Open,Stefan Edberg,1987
Ivan Lendl,Mats Wilander,French Open,Ivan Lendl,1987
Pat Cash,Ivan Lendl,Wimbledon,Pat Cash,1987
Ivan Lendl,Mats Wilander,US Open,Ivan Lendl,1987
Ivan Lendl,Mikael Pernfors,French Open,Ivan Lendl,1986
Boris Becker,Ivan Lendl,Wimbledon,Boris Becker,1986
Ivan Lendl,Miloslav Mecir,US Open,Ivan Lendl,1986
Mats Wilander,Ivan Lendl,French Open,Mats Wilander,1985
Boris Becker,Kevin Curren,Wimbledon,Boris Becker,1985
Ivan Lendl,John McEnroe,US Open,Ivan Lendl,1985
Stefan Edberg,Mats Wilander,Australian Open,Stefan Edberg,1985
Ivan Lendl,John McEnroe,French Open,Ivan Lendl,1984
John McEnroe,Jimmy Connors,Wimbledon,John McEnroe,1984
John McEnroe,Ivan Lendl,US Open,John McEnroe,1984
Mats Wilander,Kevin Curren,Australian Open,Mats Wilander,1984
Yannick Noah,Mats Wilander,French Open,Yannick Noah,1983
John McEnroe,Chris Lewis,Wimbledon,John McEnroe,1983
Jimmy Connors,Ivan Lendl,US Open,Jimmy Connors,1983
Mats Wilander,Ivan Lendl,Australian Open,Mats Wilander,1983
Mats Wilander,Guillermo Vilas,French Open,Mats Wilander,1982
Jimmy Connors,John McEnroe,Wimbledon,Jimmy Connors,1982
Jimmy Connors,Ivan Lendl,US Open,Jimmy Connors,1982
Johan Kriek,Steve Denton,Australian Open,Johan Kriek,1982
Bjorn Borg,Ivan Lendl,French Open,Bjorn Borg,1981
John McEnroe,Bjorn Borg,Wimbledon,John McEnroe,1981
John McEnroe,Bjorn Borg,US Open,John McEnroe,1981
Johan Kriek,Steve Denton,Australian Open,Johan Kriek,1981
Bjorn Borg,Vitas Gerulaitis,French Open,Bjorn Borg,1980
Bjorn Borg,John McEnroe,Wimbledon,Bjorn Borg,1980
John McEnroe,Bjorn Borg,US Open,John McEnroe,1980
Brian Teacher,Kim Warwick,Australian Open,Brian Teacher,1980
Bjorn Borg,Victor Pecci,French Open,Bjorn Borg,1979
Bjorn Borg,Roscoe Tanner,Wimbledon,Bjorn Borg,1979
John McEnroe,Vitas Gerulaitis,US Open,John McEnroe,1979
Guillermo Vilas,John Sadri,Australian Open,Guillermo Vilas,1979
Bjorn Borg,Guillermo Vilas,French Open,Bjorn Borg,1978
Bjorn Borg,Jimmy Connors,Wimbledon,Bjorn Borg,1978
Jimmy Connors,Bjorn Borg,US Open,Jimmy Connors,1978
Guillermo Vilas,John Marks,Australian Open,Guillermo Vilas,1978
Roscoe Tanner,Guillermo Vilas,Australian Open,Roscoe Tanner,1977
Guillermo Vilas,Brian Gottfried,French Open,Guillermo Vilas,1977
Bjorn Borg,Jimmy Connors,Wimbledon,Bjorn Borg,1977
Guillermo Vilas,Jimmy Connors,US Open,Guillermo Vilas,1977
Vitas Gerulaitis,John Lloyd,Australian Open,Vitas Gerulaitis,1977
Bjorn Borg,Ilie Nastase,Wimbledon,Bjorn Borg,1976
Adriano Panatta,Harold Solomon,French Open,Adriano Panatta,1976
Jimmy Connors,Bjorn Borg,US Open,Jimmy Connors,1976
Mark Edmondson,John Newcombe,Australian Open,Mark Edmondson,1976
